insee;nom;nb_voisins;insee_voisins
22302;Saint-Jacut-de-la-Mer;3;22209|22209|22049
22046;Saint-Jacut-du-Mené;7;22046|22333|22122|22046|22046|22046|22046
22304;Saint-Jean-Kerdaniel;7;22019|22206|22206|22116|22225|22272|22150
22305;Saint-Jouan-de-l'Isle;4;22032|22036|35234|22240
22306;Saint-Judoce;4;35345|35318|22208|22056
22307;Saint-Julien;4;22215|22176|22171|22170
22308;Saint-Juvat;7;22026|22274|22263|22352|22312|22239|22380
22309;Saint-Launeuc;5;22053|22114|22371|22147|22148
22310;Saint-Laurent;6;22018|22095|22091|22223|22164|22004
22311;Saint-Lormel;5;22049|22172|22237|22323|22282
22312;Saint-Maden;5;22308|22352|22208|22069|22239
22313;Saint-Martin-des-Prés;7;22009|22149|22295|22316|22047|22074|22073
22314;Saint-Maudan;5;22136|22275|56198|56072|56215
22315;Saint-Maudez;5;22048|22388|22097|22180|22318
22316;Saint-Mayeux;7;22313|22295|22033|22107|22107|22244|22047
22317;Saint-Méloir-des-Bois;7;22318|22048|22180|22145|22084|22084|22014
22318;Saint-Michel-de-Plélan;4;22048|22315|22180|22317
22319;Saint-Michel-en-Grève;4;22226|22235|22350|22349
22320;Saint-Nicodème;6;22138|22169|22365|22087|22128|22328
22321;Saint-Nicolas-du-Pélem;6;22092|22029|22334|22331|22229|22115
22322;Saint-Péver;5;22116|22289|22189|22271|22225
22323;Saint-Pôtan;8;22143|22282|22311|22237|22096|22076|22268|22174
22324;Saint-Quay-Perros;4;22134|22113|22198|22168
22325;Saint-Quay-Portrieux;4;22055|22055|22232|22377
22326;Saint-Rieul;5;22175|22193|22160|22093|22093
22327;Saint-Samson-sur-Rance;5;22213|22385|22299|22118|22339
22328;Saint-Servais;6;22023|22138|22320|22128|22052|22025
22330;Saint-Thélo;7;22300|22068|22376|22279|22260|22149|22384
22331;Sainte-Tréphine;7;22321|22334|22107|22107|22064|22220|22229
