INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy
35075;2019;9;0;133255.555555556;1407.33333333333;92.7777777777778
35075;2020;11;0;144635.7;1310.636;126.2727
35075;2021;18;1;163694.736842105;1440.63157894737;112.105263157895
35076;2018;36;18;182885.6;2046.315;89.62963
35076;2019;28;23;180808.745098039;2121.35294117647;86.8235294117647
35076;2020;41;24;197883.6;2291.215;89.53846
35076;2021;48;40;218315.284090909;2550.71590909091;87.2045454545455
35077;2018;3;0;148033.3;1284;119.3333
35077;2019;3;0;128000;846.666666666667;152
35077;2020;8;0;98304.38;839.375;118.5
35077;2021;9;0;109201.666666667;1308.11111111111;82.5555555555556
35078;2018;6;0;196666.7;2618.5;82.5
35078;2019;15;0;176700;1716.13333333333;110.933333333333
35078;2020;26;0;182217.7;1867.038;99.65385
35078;2021;14;1;200513.333333333;1907.4;105.933333333333
35079;2018;23;1;221838.6;1864.958;122.9583
35079;2019;24;1;235152.88;2273.96;106.48
35079;2020;18;3;246053.1;2579.333;95.80952
35079;2021;26;3;289471.103448276;2919.03448275862;99.3103448275862
35080;2018;25;1;209231.7;1938.269;108.7308
35080;2019;33;5;188544.473684211;1874.10526315789;103.473684210526
35080;2020;32;2;196642.6;1910.794;104.8529
35080;2021;32;6;217896.657894737;2271.26315789474;97.2105263157895
35081;2018;8;0;188062.5;2089.875;90.875
35081;2019;7;0;152146.571428571;1783;85.8571428571429
35081;2020;14;0;201408.1;2167.571;92.85714
35081;2021;5;0;197090;2445.2;81.2
35082;2018;16;1;120205.9;1206.176;104.3529
35082;2019;18;1;130723.526315789;1156.36842105263;110.473684210526
35082;2020;23;0;145560.2;1357.174;109.7826
35082;2021;23;0;156082.47826087;1386.21739130435;118.04347826087
35084;2018;7;0;121190;1243.286;96.42857
35084;2019;11;0;120359.818181818;1226.18181818182;92.7272727272727
35084;2020;16;0;98972.81;1331.375;76.75
35084;2021;15;0;116256;1290.53333333333;85.3333333333333
35085;2018;42;9;141038.2;1581.667;88.27451
35085;2019;69;12;152672.098765432;1664.75308641975;93.3333333333333
35085;2020;57;14;160310.9;1718.972;98.39437
35085;2021;65;14;162677.164556962;1812.64556962025;92.1139240506329
35086;2018;7;0;95001.29;968.4286;95.28571
35086;2019;7;0;120528.571428571;1064.28571428571;111
35086;2020;11;0;105372.7;1170.273;93.81818
35086;2021;13;0;137365.384615385;1454.46153846154;94.6153846153846
35087;2018;13;0;136508.1;1562.692;89.46154
35087;2019;7;0;137652.714285714;1245.14285714286;116.142857142857
35087;2020;12;0;175233.3;1667.167;103.25
35087;2021;14;0;157766.214285714;1469.35714285714;106
35088;2018;23;2;162467.5;1807.8;93
35088;2019;36;11;176681.340425532;1821.42553191489;101.978723404255
35088;2020;47;6;204857.9;2090.849;101.3585
35088;2021;37;3;244486.475;2214.85;110.4
35089;2018;7;0;128000;1225.714;101.7143
35089;2019;6;0;111416.666666667;1378.33333333333;79.8333333333333
35089;2020;9;0;92186.11;1518.556;68.66667
35089;2021;17;0;179558.823529412;1925.17647058824;92.8823529411765
35090;2018;21;12;149192.4;1762.485;85.42424
35090;2019;41;7;161917.354166667;1752.25;93.1666666666667
35090;2020;22;10;185044.4;1873.562;100.1875
35090;2021;33;10;207415.209302326;2140.41860465116;96.9302325581395
35091;2018;6;0;159566.7;1234.167;127.1667
35091;2019;6;0;144382.666666667;1110.33333333333;131.833333333333
35091;2020;13;0;172306.2;1616;115.9231
35091;2021;19;0;134094.947368421;1280.10526315789;96.6842105263158
35092;2018;14;0;126567.9;1249.286;101
35092;2019;9;0;110428.888888889;1158.44444444444;89.8888888888889
35092;2020;9;0;157668.2;1392.778;117.4444
